Depth,WOB,SURF_RPM,ROP_AVG,PHIF,VSH,SW,KLOGH
3755,38222.463,1.9993739,0.008716514,0.017176437,0.228459147,1,0.001
3760,46129.405,2.0001191,0.008009564,0.027820992,0.272348988,1,0.001
3765,49690.284,1.9996966,0.008000572,0.017025148,0.269027325,1,0.001
3770,55013.203,1.9995906,0.008010956,0.020829322,0.176783749,1,0.001
3775,40305.859,1.9987703,0.009120983,0.043905556,0.291026943,1,0.001
3780,31621.43,1.9984245,0.008751009,0.063229538,0.436382869,1,0.001
3785,39829.291,1.9989039,0.008714944,0.065711095,0.436370377,1,0.001
3790,41146.105,1.9987629,0.008712453,0.056422434,0.449360828,1,0.001
3795,45492.478,1.9985495,0.008701845,0.059017229,0.424207152,1,0.001
3800,45979.692,1.9984976,0.008004519,0.068953783,0.399520357,1,0.001
3805,45190.017,1.999683,0.00799568,0.06947621,0.49274665,1,0.001
3810,48461.382,1.9990276,0.00799778,0.071033971,0.543509388,1,0.001
3815,33638.681,1.9965401,0.007980319,0.089567994,0.447509023,1,0.001
3820,23809.854,1.9971734,0.008718677,0.061776378,0.401717612,1,0.001
3825,29839.424,1.9987841,0.008640089,0.01896199,0.437947379,1,0.001
3830,27483.212,2.0003042,0.008725782,0.075792397,0.693671084,1.009038374,0.001
3835,35711.047,2.0010445,0.008698941,0.279345582,1,0.399762706,0.001
3840,55441.037,1.9996143,0.007987282,0.215217297,0.999987397,0.534814892,0.001
3845,69828.84,1.9999326,0.008011421,0.270294667,1,0.356510545,0.001
3850,60725.977,1.9978049,0.008002642,0.264957008,1,0.351393474,0.001
3855,36845.539,1.9986469,0.008719819,0.22158289,1,0.529283964,0.001
3860,29158.288,1.9991948,0.008727441,0.181004889,1,0.604001053,0.001
3865,44807.529,1.9993007,0.008697404,0.151296764,1,0.817337785,0.001
3870,58069.453,1.9995504,0.008715113,0.147881453,1,0.794250438,0.001
3875,42989.009,1.9997094,0.00872522,0.006269835,1,1.013334867,0.001
3880,63292.935,1.9996722,0.00800008,0.056055725,0.782642129,1,0.001
3885,64154.213,1.9991367,0.008010956,0.089573438,0.759587355,1,0.001
3890,56690.941,1.9991023,0.00799959,0.06127252,0.691203861,1,0.001
3895,38115.807,2.001708,0.010447495,0.10613288,0.736869296,0.999999362,0.001
3900,31893.992,1.998052,0.008718065,0.119349873,0.648639524,1,0.001
3905,28826.265,2.0001599,0.008731485,0.116232221,0.636108403,1.000166442,0.001
3910,26972.945,1.9995598,0.00881428,0.087286966,0.929936987,1,0.001
3915,21042.733,1.998887,0.008712719,0.062475336,0.758338369,1,0.001
3920,37453.208,1.9998759,0.008007675,0.037360369,0.919411862,1,0.001
3925,45694.986,1.9990125,0.00799778,0.054432395,0.761076826,1,0.001
3940,34610.165,1.9965428,0.008717651,0.08846727,0.382698021,1,0.001
3945,51089.58,2.033445,0.008625784,0.02587574,0.255936006,1,0.001
3950,58211.326,2.0022102,0.007311621,0.059274281,0.34555423,1,0.001
3955,86371.098,1.921884,0.009609728,0.19059067,0.166917416,1.0000003,96.62707762
3960,32453.181,1.6848092,0.002666349,0.220887929,0.255504085,0.967894914,29.31497956
3965,32720.292,1.9998848,0.008005734,0.222342726,0.262688137,1.002692644,25.99909272
3970,29672.6,1.9984927,0.008017228,0.230255179,0.18379988,0.997732136,154.2851127
3975,43582.533,1.8850254,0.009138043,0.258917863,0.214524313,0.941853701,137.2785724
3980,45641.461,1.9994082,0.008635572,0.044943207,0.236283338,0.999994036,1.695416167
3985,45390.125,1.9984904,0.008724314,0.213101327,0.098045322,1,665.637021
3990,55678.462,2.0000979,0.009058432,0.204407288,0.137021578,0.999495539,252.3381135
3995,65754.122,1.9986802,0.008809657,0.209105034,0.10871149,1,495.1497139
4000,72975.358,1.9995409,0.00815543,0.201056138,0.092304055,1,599.3207899
4005,77870.783,1.9997689,0.008149182,0.235363162,0.157579876,0.99324823,290.3877648
4010,78076.674,1.9995536,0.00816907,0.200750148,0.134360967,1,248.2500244
4015,62886.437,2.0012174,0.007287949,0.200312775,0.13742446,1.000017202,230.7884165
4020,42217.174,2.0011557,0.008803609,0.204624218,0.139343617,1.000043186,242.0634126
4025,31794.46,2.0003171,0.008813843,0.214039682,0.113573258,0.999991945,490.2729805
4030,27584.207,2.0014861,0.008821576,0.224000361,0.104591851,0.999796015,709.1589348
4035,29556.685,2.000534,0.008804099,0.2302253,0.113885279,1,661.4133173
4040,34031.728,2.0001419,0.008721317,0.153503761,0.187056769,1.004728641,35.65380066
4045,42810.41,1.9996809,0.008491464,0.174020622,0.253722647,0.992155151,12.81719663
4050,48561.64,1.9797667,0.008101219,0.210908789,0.160896767,1.000000005,164.6616777
4055,48997.73,1.9846151,0.008153255,0.22853542,0.239818519,1,46.74032497
4060,54226.759,1.9980334,0.008814821,0.156014219,0.258400143,1,7.762621678
4065,71081.752,2.1042577,0.008808284,0.087738425,0.291585691,1,0.162924655
4070,72756.626,2.3330382,0.008824361,0.019423713,0.503174813,1.000000022,-0.00112407
4075,83526.789,2.3333259,0.00879856,0.054682587,0.689640067,1.000097984,0.002261498
4080,84496.549,2.334673,0.008374846,0.022857,0.640100015,1,0.001
4085,86658.559,2.3313385,0.008454085,0.022857,0.6401,1,0.001
